GeneA_ID,GeneA_Name,GeneB_ID,GeneB_Name,ConfidenceScore,Source
ENSG00000129152.4,MYOD1,ENSG00000143869.7,GDF7,152,STRING
ENSG00000129152.4,MYOD1,ENSG00000171303.8,KCNK3,158,STRING
ENSG00000129152.4,MYOD1,ENSG00000115163.15,CENPA,317,STRING
ENSG00000129152.4,MYOD1,ENSG00000171094.18,ALK,297,STRING
ENSG00000129152.4,MYOD1,ENSG00000138083.5,SIX3,194,STRING
ENSG00000129152.4,MYOD1,ENSG00000082898.19,XPO1,153,STRING
ENSG00000129152.4,MYOD1,ENSG00000143995.20,MEIS1,296,STRING
ENSG00000129152.4,MYOD1,ENSG00000183733.6,FIGLA,1000,HuRI
ENSG00000129152.4,MYOD1,ENSG00000135636.16,DYSF,463,STRING
ENSG00000129152.4,MYOD1,ENSG00000135638.14,EMX1,182,STRING
ENSG00000129152.4,MYOD1,ENSG00000153563.17,CD8A,179,STRING
ENSG00000129152.4,MYOD1,ENSG00000115008.6,IL1A,248,STRING
ENSG00000129152.4,MYOD1,ENSG00000125538.12,IL1B,357,STRING
ENSG00000129152.4,MYOD1,ENSG00000136689.20,IL1RN,157,STRING
ENSG00000129152.4,MYOD1,ENSG00000163064.7,EN1,197,STRING
ENSG00000129152.4,MYOD1,ENSG00000074047.22,GLI2,278,STRING
ENSG00000129152.4,MYOD1,ENSG00000136717.15,BIN1,205,STRING
ENSG00000129152.4,MYOD1,ENSG00000196604.13,POTEF,298,STRING
ENSG00000129152.4,MYOD1,ENSG00000082258.13,CCNT2,154,STRING
ENSG00000129152.4,MYOD1,ENSG00000121966.8,CXCR4,354,STRING
ENSG00000129152.4,MYOD1,ENSG00000150540.14,HNMT,175,STRING
ENSG00000129152.4,MYOD1,ENSG00000169554.23,ZEB2,179,STRING
ENSG00000129152.4,MYOD1,ENSG00000121989.15,ACVR2A,305,STRING
ENSG00000129152.4,MYOD1,ENSG00000123612.16,ACVR1C,182,STRING
ENSG00000129152.4,MYOD1,ENSG00000115170.16,ACVR1,246,STRING
ENSG00000129152.4,MYOD1,ENSG00000136535.15,TBR1,154,STRING
ENSG00000129152.4,MYOD1,ENSG00000115263.15,GCG,179,STRING
ENSG00000129152.4,MYOD1,ENSG00000163092.22,XIRP2,169,STRING
ENSG00000129152.4,MYOD1,ENSG00000144355.15,DLX1,165,STRING
ENSG00000129152.4,MYOD1,ENSG00000128714.6,HOXD13,181,STRING
ENSG00000129152.4,MYOD1,ENSG00000128713.14,HOXD11,183,STRING
ENSG00000129152.4,MYOD1,ENSG00000128709.13,HOXD9,167,STRING
