Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"TRIM22","Tripartite Motif Containing 22","Protein Coding","Q8IYM9","50","GC11P005689","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM22"
"PLB1","Phospholipase B1","Protein Coding","Q6P1J6","49","GC02P030317","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLB1"
"PPRC1","PPARG Related Coactivator 1","Protein Coding","Q5VV67","49","GC10P102119","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPRC1"
"SLC45A3","Solute Carrier Family 45 Member 3","Protein Coding","Q96JT2","49","GC01M205626","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC45A3"
"SNX14","Sorting Nexin 14","Protein Coding","Q9Y5W7","49","GC06M112310","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX14"
"TDRKH","Tudor And KH Domain Containing","Protein Coding","Q9Y2W6","49","GC01M168506","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TDRKH"
"A1BG","Alpha-1-B Glycoprotein","Protein Coding","P04217","48","GC19M058345","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=A1BG"
"CPLX3","Complexin 3","Protein Coding","Q8WVH0","48","GC15P074826","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPLX3"
"ACKR5","Atypical Chemokine Receptor 5","Protein Coding","O15218","47","GC12P056994","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACKR5"
"DIXDC1","DIX Domain Containing 1","Protein Coding","Q155Q3","47","GC11P111927","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIXDC1"
"ERP29","Endoplasmic Reticulum Protein 29","Protein Coding","P30040","47","GC12P112013","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERP29"
"IFNK","Interferon Kappa","Protein Coding","Q9P0W0","47","GC09P027514","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNK"
"INTS3","Integrator Complex Subunit 3","Protein Coding","Q68E01","47","GC01P153728","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INTS3"
"KANSL3","KAT8 Regulatory NSL Complex Subunit 3","Protein Coding","Q9P2N6","47","GC02M102628","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KANSL3"
"LUC7L2","LUC7 Like 2, Pre-MRNA Splicing Factor","Protein Coding","Q9Y383","47","GC07P168045","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LUC7L2"
"MRPL10","Mitochondrial Ribosomal Protein L10","Protein Coding","Q7Z7H8","47","GC17M101271","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL10"
"ZHX1","Zinc Fingers And Homeoboxes 1","Protein Coding","Q9UKY1","47","GC08M123248","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZHX1"
"ATP6V0B","ATPase H+ Transporting V0 Subunit B","Protein Coding","Q99437","46","GC01P043974","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V0B"
"CKMT1A","Creatine Kinase, Mitochondrial 1A","Protein Coding","P12532","46","GC15P201711","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKMT1A"
"KLF9","KLF Transcription Factor 9","Protein Coding","Q13886","46","GC09M070384","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF9"
"ABT1","Activator Of Basal Transcription 1","Protein Coding","Q9ULW3","45","GC06P190541","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABT1"
"DHDH","Dihydrodiol Dehydrogenase","Protein Coding","Q9UQ10","45","GC19P162406","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHDH"
"SAMSN1","SAM Domain, SH3 Domain And Nuclear Localization Signals 1","Protein Coding","Q9NSI8","45","GC21M014485","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAMSN1"
"TCF15","Transcription Factor 15","Protein Coding","Q12870","45","GC20M000730","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF15"
"CNN2","Calponin 2","Protein Coding","Q99439","44","GC19P001026","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNN2"
"FABP12","Fatty Acid Binding Protein 12","Protein Coding","A6NFH5","44","GC08M081524","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP12"
"NELFE","Negative Elongation Factor Complex Member E","Protein Coding","P18615","44","GC06M031952","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NELFE"
"TSPAN4","Tetraspanin 4","Protein Coding","O14817","44","GC11P022714","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN4"
"WBP1L","WW Domain Binding Protein 1 Like","Protein Coding","Q9NX94","44","GC10P102743","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WBP1L"
"HTN3","Histatin 3","Protein Coding","P15516","43","GC04P070028","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTN3"
"KANSL2","KAT8 Regulatory NSL Complex Subunit 2","Protein Coding","Q9H9L4","43","GC12M048653","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KANSL2"
"CST2","Cystatin SA","Protein Coding","P09228","42","GC20M023823","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST2"
"TCEAL4","Transcription Elongation Factor A Like 4","Protein Coding","Q96EI5","42","GC0XP103576","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCEAL4"
"STATH","Statherin","Protein Coding","P02808","41","GC04P069995","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STATH"
"ZNF410","Zinc Finger Protein 410","Protein Coding","Q86VK4","41","GC14P073886","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF410"
"TERC","Telomerase RNA Component","RNA Gene","","36","GC03M169765","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERC"
"ZNF121","Zinc Finger Protein 121","Protein Coding","P58317","36","GC19M111844","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF121"
"CDY2A","Chromodomain Y-Linked 2A","Protein Coding","Q9Y6F7","35","GC0YP018025","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDY2A"
"ATXN8OS","ATXN8 Opposite Strand LncRNA","RNA Gene","P0DMR3","33","GC13P070107","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN8OS"
"PVT1","Pvt1 Oncogene","RNA Gene","","33","GC08P128471","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1"
"TNXA","Tenascin XA (Pseudogene)","Pseudogene","Q16473","32","GC06M111560","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNXA"
"MIR143","MicroRNA 143","RNA Gene","","31","GC05P161156","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR143"
"MIR214","MicroRNA 214","RNA Gene","","31","GC01M172234","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR214"
"MIR155","MicroRNA 155","RNA Gene","","30","GC21P025573","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"MIR211","MicroRNA 211","RNA Gene","","30","GC15M031065","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR211"
"MIR22","MicroRNA 22","RNA Gene","","30","GC17M001713","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22"
"MIR320A","MicroRNA 320a","RNA Gene","","30","GC08M022506","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR320A"
"MIR210","MicroRNA 210","RNA Gene","","29","GC11M015784","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR210"
"MIR9-2HG","MIR9-2 Host Gene","RNA Gene","","29","GC05M088507","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR9-2HG"
"HAND2-AS1","HAND2 Antisense RNA 1","RNA Gene","","28","GC04P173521","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAND2-AS1"
"MIR221","MicroRNA 221","RNA Gene","","28","GC0XM045746","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"MIR23B","MicroRNA 23b","RNA Gene","","28","GC09P095085","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23B"
"MIR328","MicroRNA 328","RNA Gene","","28","GC16M067924","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR328"
"MIR195","MicroRNA 195","RNA Gene","","27","GC17M099942","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR195"
"PAPPA-AS1","PAPPA Antisense RNA 1","RNA Gene","Q5QFB9","27","GC09M116398","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAPPA-AS1"
"RPPH1","Ribonuclease P RNA Component H1","RNA Gene","","27","GC14M029094","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPPH1"
"SCARNA5","Small Cajal Body-Specific RNA 5","RNA Gene","","27","GC02P233275","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA5"
"DSCAM-AS1","DSCAM Antisense RNA 1","RNA Gene","","24","GC21P040383","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSCAM-AS1"
"MIR124-3","MicroRNA 124-3","RNA Gene","","24","GC20P069851","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR124-3"
"ABCC13","ATP Binding Cassette Subfamily C Member 13 (Pseudogene)","Pseudogene","","23","GC21P021854","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC13"
"GATA6-AS1","GATA6 Antisense RNA 1 (Head To Head)","RNA Gene","","23","GC18M039188","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA6-AS1"
"SNORD61","Small Nucleolar RNA, C/D Box 61","RNA Gene","","23","GC0XM136879","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD61"
"MIR545","MicroRNA 545","RNA Gene","","22","GC0XM074287","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR545"
"SCARNA22","Small Cajal Body-Specific RNA 22","RNA Gene","","22","GC04P031622","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA22"
"SNORD20","Small Nucleolar RNA, C/D Box 20","RNA Gene","","22","GC02M231456","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD20"
"FAS-AS1","FAS Antisense RNA 1","RNA Gene","","21","GC10M088991","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS-AS1"
"ELDR","EGFR Long Non-Coding Downstream RNA","RNA Gene","","20","GC07M055235","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELDR"
"SCAANT1","SCA7/ATXN7 Antisense RNA 1","RNA Gene","","20","GC03M063911","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAANT1"
"SALRNA1","Senescence Associated Long Non-Coding RNA 1","RNA Gene","","19","GC14P062614","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SALRNA1"
"SNORD47","Small Nucleolar RNA, C/D Box 47","RNA Gene","","19","GC01M175201","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD47"
"SNORD76","Small Nucleolar RNA, C/D Box 76","RNA Gene","","18","GC01M175196","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD76"
"SNORD78","Small Nucleolar RNA, C/D Box 78","RNA Gene","","18","GC01M175202","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD78"
"STARD7-AS1","STARD7 Antisense RNA 1","RNA Gene","","18","GC02P096208","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD7-AS1"
"TTTY2","Testis Expressed Transcript, Y-Linked 2","RNA Gene","","18","GC0YP009736","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTTY2"
"UGT1A","UDP Glucuronosyltransferase Family 1 Member A Complex Locus","Uncategorized","","18","GC02P235485","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A"
"ADAD2-AS1","ADAD2 Antisense RNA 1","RNA Gene","","17","GC16M084197","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAD2-AS1"
"MIR3909","MicroRNA 3909","RNA Gene","","17","GC22P035335","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3909"
"PRPF31-AS1","PRPF31 Antisense RNA 1","RNA Gene","","17","GC19M115130","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31-AS1"
"SNORA55","Small Nucleolar RNA, H/ACA Box 55","RNA Gene","","17","GC01M039567","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORA55"
"FAM27B","Family With Sequence Similarity 27 Member B","RNA Gene","Q5VT28","15","GC09M067725","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM27B"
"TTTY1","Testis Expressed Transcript, Y-Linked 1","RNA Gene","","15","GC0YM009753","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTTY1"
"LINC01694","Long Intergenic Non-Protein Coding RNA 1694","RNA Gene","","14","GC21P051998","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01694"
"XKRYP7","XK Related, Y-Linked Pseudogene 7","Pseudogene","","14","GC0YP018269","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XKRYP7"
"CD46P1","CD46 Molecule Pseudogene 1","Pseudogene","","13","GC01P207645","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD46P1"
"PTENP1-AS","PTENP1 Antisense RNA","RNA Gene","","13","GC09P081577","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTENP1-AS"
"RPS17P3","Ribosomal Protein S17 Pseudogene 3","Pseudogene","","13","GC17P030830","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS17P3"
"RPS20P4","Ribosomal Protein S20 Pseudogene 4","Pseudogene","","13","GC05M150024","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS20P4"
"NPTN-IT1","NPTN Intronic Transcript 1","RNA Gene","","12","GC15M073566","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPTN-IT1"
"HBB-LCR","Beta-Globin Locus Control Region","Functional Element","","10","GC11P022911","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB-LCR"
"LOC110806262","Solute Carrier Family 6 Member 4 Gene Promoter","Functional Element","","10","GC17P030235","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110806262"
"LOC441666","Zinc Finger Protein 91 Pseudogene","Pseudogene","","10","GC10M042195","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC441666"
"RPL7AP50","Ribosomal Protein L7a Pseudogene 50","Pseudogene","","10","GC10M063902","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL7AP50"
"LOC106780803","Tenascin XB Recombination Region","Functional Element","","9","GC06P194262","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106780803"
"LOC107982234","WT1/WT1-AS Bi-Directional Promoter Region","Functional Element","","9","GC11P032430","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC107982234"
"PRYP4","PTPN13 Like Y-Linked Pseudogene 4","Pseudogene","O14603","9","GC0YP027968","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRYP4"
"LOC106780804","Tenascin XA (Pseudogene) Recombination Region","Functional Element","","7","GC06P194263","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106780804"
"STIN2-VNTR","Serotonin Transporter Intronic VNTR Enhancer","Functional Element","","3","GC17P030221","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STIN2-VNTR"
