GeneA_ID,GeneA_Name,GeneB_ID,GeneB_Name,ConfidenceScore,Source
ENSG00000116132.12,PRRX1,ENSG00000121966.8,CXCR4,209,STRING
ENSG00000116132.12,PRRX1,ENSG00000169554.23,ZEB2,465,STRING
ENSG00000116132.12,PRRX1,ENSG00000123610.5,TNFAIP6,233,STRING
ENSG00000116132.12,PRRX1,ENSG00000123612.16,ACVR1C,150,STRING
ENSG00000116132.12,PRRX1,ENSG00000115170.16,ACVR1,311,STRING
ENSG00000116132.12,PRRX1,ENSG00000144290.17,SLC4A10,332,STRING
ENSG00000116132.12,PRRX1,ENSG00000078098.15,FAP,356,STRING
ENSG00000116132.12,PRRX1,ENSG00000128714.6,HOXD13,683,STRING
ENSG00000116132.12,PRRX1,ENSG00000128713.14,HOXD11,637,STRING
ENSG00000116132.12,PRRX1,ENSG00000128709.13,HOXD9,259,STRING
ENSG00000116132.12,PRRX1,ENSG00000128645.15,HOXD1,215,STRING
ENSG00000116132.12,PRRX1,ENSG00000155657.29,TTN,174,STRING
ENSG00000116132.12,PRRX1,ENSG00000138448.13,ITGAV,301,STRING
ENSG00000116132.12,PRRX1,ENSG00000204262.14,COL5A2,360,STRING
ENSG00000116132.12,PRRX1,ENSG00000138395.17,CDK15,204,STRING
ENSG00000116132.12,PRRX1,ENSG00000204217.16,BMPR2,365,STRING
ENSG00000116132.12,PRRX1,ENSG00000118263.16,KLF7,183,STRING
ENSG00000116132.12,PRRX1,ENSG00000115596.4,WNT6,184,STRING
ENSG00000116132.12,PRRX1,ENSG00000163497.3,FEV,161,STRING
ENSG00000116132.12,PRRX1,ENSG00000163501.7,IHH,316,STRING
ENSG00000116132.12,PRRX1,ENSG00000116106.12,EPHA4,151,STRING
ENSG00000116132.12,PRRX1,ENSG00000132321.17,IQCA1,158,STRING
ENSG00000116132.12,PRRX1,ENSG00000144476.6,ACKR3,167,STRING
ENSG00000116132.12,PRRX1,ENSG00000163359.17,COL6A3,369,STRING
ENSG00000116132.12,PRRX1,ENSG00000163513.20,TGFBR2,221,STRING
ENSG00000116132.12,PRRX1,ENSG00000185313.9,SCN10A,214,STRING
ENSG00000116132.12,PRRX1,ENSG00000168036.19,CTNNB1,373,STRING
ENSG00000116132.12,PRRX1,ENSG00000180432.6,CYP8B1,161,STRING
ENSG00000116132.12,PRRX1,ENSG00000163815.6,CLEC3B,201,STRING
ENSG00000116132.12,PRRX1,ENSG00000160808.13,MYL3,154,STRING
ENSG00000116132.12,PRRX1,ENSG00000181555.22,SETD2,203,STRING
ENSG00000116132.12,PRRX1,ENSG00000272573.6,MUSTN1,171,STRING
ENSG00000116132.12,PRRX1,ENSG00000114251.15,WNT5A,330,STRING
ENSG00000116132.12,PRRX1,ENSG00000163637.13,PRICKLE2,170,STRING
ENSG00000116132.12,PRRX1,ENSG00000187098.18,MITF,176,STRING
ENSG00000116132.12,PRRX1,ENSG00000121440.15,PDZRN3,206,STRING
ENSG00000116132.12,PRRX1,ENSG00000154175.19,ABI3BP,156,STRING
ENSG00000116132.12,PRRX1,ENSG00000170017.12,ALCAM,162,STRING
ENSG00000116132.12,PRRX1,ENSG00000091972.19,CD200,172,STRING
ENSG00000116132.12,PRRX1,ENSG00000091986.16,CCDC80,214,STRING
ENSG00000116132.12,PRRX1,ENSG00000082701.17,GSK3B,182,STRING
ENSG00000116132.12,PRRX1,ENSG00000114547.10,ROPN1B,172,STRING
ENSG00000116132.12,PRRX1,ENSG00000174640.15,SLCO2A1,159,STRING
ENSG00000116132.12,PRRX1,ENSG00000175054.16,ATR,158,STRING
ENSG00000116132.12,PRRX1,ENSG00000163710.9,PCOLCE2,199,STRING
ENSG00000116132.12,PRRX1,ENSG00000152952.14,PLOD2,195,STRING
ENSG00000116132.12,PRRX1,ENSG00000071794.16,HLTF,190,STRING
ENSG00000116132.12,PRRX1,ENSG00000169908.12,TM4SF1,163,STRING
ENSG00000116132.12,PRRX1,ENSG00000114757.19,PEX5L,194,STRING
ENSG00000116132.12,PRRX1,ENSG00000172061.9,LRRC15,269,STRING
ENSG00000116132.12,PRRX1,ENSG00000068078.20,FGFR3,172,STRING
ENSG00000116132.12,PRRX1,ENSG00000007062.12,PROM1,244,STRING
ENSG00000116132.12,PRRX1,ENSG00000145147.20,SLIT2,208,STRING
ENSG00000116132.12,PRRX1,ENSG00000282278.1,,161,STRING
ENSG00000116132.12,PRRX1,ENSG00000157404.17,KIT,250,STRING
ENSG00000116132.12,PRRX1,ENSG00000128052.10,KDR,235,STRING
ENSG00000116132.12,PRRX1,ENSG00000163453.11,IGFBP7,181,STRING
ENSG00000116132.12,PRRX1,ENSG00000163631.19,ALB,182,STRING
ENSG00000116132.12,PRRX1,ENSG00000138771.16,SHROOM3,318,STRING
ENSG00000116132.12,PRRX1,ENSG00000138675.17,FGF5,235,STRING
ENSG00000116132.12,PRRX1,ENSG00000152785.8,BMP3,164,STRING
ENSG00000116132.12,PRRX1,ENSG00000152583.13,SPARCL1,176,STRING
ENSG00000116132.12,PRRX1,ENSG00000152592.15,DMP1,189,STRING
ENSG00000116132.12,PRRX1,ENSG00000118777.12,ABCG2,181,STRING
ENSG00000116132.12,PRRX1,ENSG00000138696.11,BMPR1B,217,STRING
ENSG00000116132.12,PRRX1,ENSG00000182168.16,UNC5C,227,STRING
ENSG00000116132.12,PRRX1,ENSG00000109320.14,NFKB1,157,STRING
ENSG00000116132.12,PRRX1,ENSG00000138795.10,LEF1,286,STRING
ENSG00000116132.12,PRRX1,ENSG00000173376.14,NDNF,200,STRING
ENSG00000116132.12,PRRX1,ENSG00000138685.18,FGF2,273,STRING
ENSG00000116132.12,PRRX1,ENSG00000196159.14,FAT4,174,STRING
ENSG00000116132.12,PRRX1,ENSG00000151617.17,EDNRA,322,STRING
ENSG00000116132.12,PRRX1,ENSG00000145423.5,SFRP2,388,STRING
ENSG00000116132.12,PRRX1,ENSG00000145431.11,PDGFC,195,STRING
ENSG00000116132.12,PRRX1,ENSG00000170549.4,IRX1,318,STRING
ENSG00000116132.12,PRRX1,ENSG00000164190.19,NIPBL,257,STRING
